Year,Pairing,Fandom,Type,Works
2022,Sherlock Holmes & John Watson,Sherlock (TV),Gen,19207
2022,Kara Danvers/Lena Luthor,Supergirl (TV 2015),F/F,19062
2022,Iwaizumi Hajime/Oikawa Tooru,Haikyuu!!,M/M,18685
2022,Geralt of Rivia/Jaskier,The Witcher (TV),M/M,18663
2022,Blaine Anderson/Kurt Hummel,Glee,M/M,17912
2022,Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs),Bungou Stray Dogs,M/M,17676
2022,Hermione Granger/Ron Weasley,Harry Potter,F/M,17325
2022,Eraserhead/Yamada Hizashi,Boku no Hero Academia,M/M,17318
2022,Hinata Shouyou/Kageyama Tobio,Haikyuu!!,M/M,17106
2022,Dan Howell/Phil Lester,Phandom/The Fantastic Foursome (YouTube RPF),M/M,17075
2022,Levi Ackerman/Eren Yeager,Attack on Titan,M/M,16780
2022,Erik Lehnsherr/Charles Xavier,X-Men (Alternate Timeline Movies),M/M,16413
2022,J-Hope/Min Yoongi,Bangtan Boys,M/M,16311
2022,Wilbur Soot & Technoblade & TommyInnit,Minecraft (Video Game),Gen,15929
2022,Keith/Shiro (Voltron),Voltron: Legendary Defender,M/M,15927
2022,Wilbur Soot & TommyInnit,Minecraft (Video Game),Gen,15564
2022,Armitage Hux/Ben Solo,Star Wars Sequel Trilogy,M/M,15349
2022,Akaashi Keiji/Bokuto Koutarou,Haikyuu!!,M/M,15199
2022,"Evan ""Buck"" Buckley/Eddie Diaz (9-1-1 TV)",9-1-1 (TV),M/M,14895
2022,Eddie Kaspbrak/Richie Tozier,IT,M/M,14836
2022,Regina Mills/Emma Swan,Once Upon a Time (TV),F/M,14536
2022,James T. Kirk/Spock,Star Trek: Alternate Original Series (Movies),M/M,14516
2022,Bellamy Blake/Clarke Griffin,The 100 (TV),F/M,14507
2022,Ian Gallagher/Mickey Milkovich,Shameless (US),M/M,14453
2022,Harry Potter/Severus Snape,Harry Potter,M/M,14446
2022,Loki/Thor (Marvel),Thor (Movies),M/M,14283
2022,Harry Potter/Ginny Weasley,Harry Potter,F/M,14206
2022,Jensen Ackles/Jared Padalecki,Supernatural (TV 2005) RPF,M/M,13983
2022,Gabriel/Sam Winchester,Supernatural (TV 2005),M/M,13943
2022,V/Park Jimin,Bangtan Boys,M/M,13918
2022,"James ""Bucky"" Barnes/Reader",Marvel Cinematic Universe,Other,13702
2022,Rodney McKay/John Sheppard,Stargate Atlantis,M/M,13416
2022,Jeon Jungkook/Min Yoongi,Bangtan Boys,M/M,13184
2022,Bakugou Katsuki/Midoriya Izuku,Boku no Hero Academia,M/M,13091
2022,Dean Winchester & Sam Winchester,Supernatural (TV 2005),Gen,13020
2022,Tubbo & TommyInnit,Minecraft (Video Game),M/M,12899
2022,Clarke Griffin/Lexa,The 100 (TV),F/F,12765
2022,Clint Barton/Natasha Romanov,The Avengers (Marvel Movies),F/M,12250
2022,Fox Mulder/Dana Scully,The X-Files,F/M,12076
2022,"Steve McGarrett/Danny ""Danno"" Williams",Hawaii Five-0 (2010),M/M,11915
2022,Mycroft Holmes/Greg Lestrade,Sherlock (TV),M/M,11889
2022,Enjolras/Grantaire (Les Miserables),Les Misérables,M/M,11803
2022,Aziraphale & Crowley (Good Omens),Good Omens,Gen,11799
2022,"James ""Bucky"" Barnes & Steve Rogers",Marvel Cinematic Universe,Gen,11700
2022,Jack Harkness/Ianto Jones,Torchwood,M/M,11673
2022,Loki/Tony Stark,The Avengers (Marvel Movies),M/M,11630
2022,Oliver Queen/Felicity Smoak,Arrow (TV 2012),F/M,11583
2022,Uchiha Sasuke/Uzumaki Naruto,Naruto,M/M,11501
2022,Killian Jones/Emma Swan,Once Upon a Time (TV),F/M,11438
2022,Castiel & Dean Winchester,Supernatural (TV 2005),Gen,11427
2022,Clint Barton/Phil Coulson,The Avengers (Marvel Movies),M/M,11283
2022,Bilbo Baggins/Thorin Oakenshield,The Hobbit,M/M,11143
2022,Frank Iero/Gerard Way,My Chemical Romance,M/M,10945
2022,Tenth Doctor/Rose Tyler,Doctor Who (2005),F/M,10753
2022,Levi Ackerman/Erwin Smith,Attack on Titan,M/M,10552
2022,Adora/Catra (She-Ra),She-Ra and the Princesses of Power (2018),F/F,10063
2022,Kozume Kenma/Kuroo Tetsurou,Haikyuu!!,M/M,9933
2022,Annabeth Chase/Percy Jackson,Percy Jackson and the Olympians - Rick Riordan,F/M,9922
2022,Technoblade & TommyInnit (Video Blogging RPF),Minecraft (Video Game),Gen,9901
2022,Harry Potter/Tom Riddle,Harry Potter,M/M,9800
2022,Miya Atsumu/Sakusa Kiyoomi,Haikyuu!!,M/M,9783
2022,V/Min Yoongi,Bangtan Boys,M/M,9691
2022,"James ""Bucky"" Barnes/Tony Stark",Marvel Cinematic Universe,M/M,9668
2022,Childe/Zhongli (Genshin Impact),Genshin Impact (Video Game),M/M,9641
2022,Sawamura Daichi/Sugawara Koushi,Haikyuu!!,M/M,9633
2022,Zayn Malik/Liam Payne,One Direction (Band),M/M,9493
2022,Peter Hale/Stiles Stilinski,Teen Wolf (TV),M/M,9339
2022,Sherlock Holmes/Molly Hooper,Sherlock (TV),F/M,9337
2022,Byun Baekhyun/Park Chanyeol,EXO (Band),M/M,9329
2022,Bakugou Katsuki/Todoroki Shouto,Boku no Hero Academia,M/M,9289
2023,Castiel/Dean Winchester,Supernatural (TV 2005),M/M,102783
2023,Sherlock Holmes/John Watson,Sherlock (TV),M/M,63386
2023,Derek Hale/Stiles Stilinski,Teen Wolf (TV),M/M,63333
2023,Draco Malfoy/Harry Potter,Harry Potter,M/M,59048
2023,"James ""Bucky"" Barnes/Steve Rogers",Captain America (Movies),M/M,58160
2023,Aziraphale/Crowley (Good Omens),Good Omens,Other,45362
2023,Steve Rogers/Tony Stark,The Avengers (Marvel Movies),M/M,42239
2023,Sirius Black/Remus Lupin,Harry Potter,M/M,40881
2023,Harry Styles/Louis Tomlinson,One Direction (Band),M/M,39028
2023,Bakugou Katsuki/Midoriya Izuku,Boku no Hero Academia,M/M,38415
2023,Jeon Jungkook/Kim Taehyung | V,Bangtan Boys,M/M,35024
2023,Lan Wangji/Wei Ying,Mo Dao Zu Shi,M/M,34632
2023,Adrien Agreste | Chat Noir/Marinette Dupain-Cheng | Ladybug,Miraculous Ladybug,F/M,33169
2023,Keith/Lance (Voltron),Voltron: Legendary Defender,M/M,32035
2023,Dean Winchester/Sam Winchester,Supernatural (TV 2005),M/M,30257
2023,Magnus Bane/Alec Lightwood,Shadowhunters (TV),M/M,29501
2023,Bakugou Katsuki/Kirishima Eijirou,Boku no Hero Academia,M/M,29316
2023,Merlin/Arthur Pendragon (Merlin),Merlin (TV),M/M,27082
2023,Peter Parker & Tony Stark,Marvel Cinematic Universe,Gen,26868
2023,Jeon Jungkook/Park Jimin,Bangtan Boys,M/M,26552
2023,Rey/Ben Solo | Kylo Ren,Star Wars Sequel Trilogy,F/M,26363
2023,Min Yoongi | Suga/Park Jimin,Bangtan Boys,M/M,26124
2023,Will Graham/Hannibal Lecter,Hannibal (TV),M/M,25643
2023,Katsuki Yuuri/Victor Nikiforov,Yuri!!! on Ice (Anime),M/M,25253
2023,Hermione Granger/Draco Malfoy,Harry Potter,F/M,24827
2023,Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs),Bungou Stray Dogs,M/M,24005
2023,Clay | Dream/GeorgeNotFound (Video Blogging RPF),Video Blogging RPF,M/M,22989
2023,James Potter/Lily Evans Potter,Harry Potter,F/M,22759
2023,Midoriya Izuku/Todoroki Shouto,Boku no Hero Academia,M/M,22486
2023,Kim Namjoon | RM/Kim Seokjin | Jin,Bangtan Boys,M/M,21567
2023,Pepper Potts/Tony Stark,Marvel Cinematic Universe,F/M,21033
2023,Wilbur Soot & TommyInnit,Minecraft (Video Game),Gen,20602
2023,Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,Boku no Hero Academia,M/M,20070
2023,Wilbur Soot & Technoblade & TommyInnit & Phil Watson,Minecraft (Video Game),Gen,19889
2023,Steve Harrington/Eddie Munson,Stranger Things (TV 2016),M/M,19870
2023,Kara Danvers/Lena Luthor,Supergirl (TV 2015),F/F,19455
2023,Iwaizumi Hajime/Oikawa Tooru,Haikyuu!!,M/M,19147
2023,Geralt z Rivii | Geralt of Rivia/Jaskier | Dandelion,The Witcher (TV),M/M,18753
2023,Hermione Granger/Ron Weasley,Harry Potter,F/M,18730
2023,Sherlock Holmes & John Watson,Sherlock (TV),Gen,18470
2023,Hinata Shouyou/Kageyama Tobio,Haikyuu!!,M/M,17813
2023,"Evan ""Buck"" Buckley/Eddie Diaz (9-1-1 TV)",9-1-1 (TV),M/M,17540
2023,Levi Ackerman/Eren Yeager,Shingeki no Kyojin | Attack on Titan,M/M,17017
2023,Blaine Anderson/Kurt Hummel,Glee,M/M,16891
2023,Jung Hoseok | J-Hope/Min Yoongi | Suga,Bangtan Boys,M/M,16614
2023,Dan Howell/Phil Lester,Phandom/The Fantastic Foursome (YouTube RPF),M/M,16511
2023,James T. Kirk/Spock,Star Trek: Alternate Original Series (Movies),M/M,16286
2023,Erik Lehnsherr/Charles Xavier,X-Men (Alternate Timeline Movies),M/M,16193
2023,Akaashi Keiji/Bokuto Koutarou,Haikyuu!!,M/M,15936
2023,Bakugou Katsuki & Midoriya Izuku,Boku no Hero Academia,Gen,15709
2023,Harry Potter/Ginny Weasley,Harry Potter,F/M,15635
2023,Harry Potter/Severus Snape,Harry Potter,M/M,15340
2023,Ian Gallagher/Mickey Milkovich,Shameless (US),M/M,15154
2023,Eddie Kaspbrak/Richie Tozier,IT,M/M,14803
2023,Keith/Shiro (Voltron),Voltron: Legendary Defender,M/M,14793
2023,Evil Queen | Regina Mills/Emma Swan,Once Upon a Time (TV),F/F,14632
2023,Toby Smith | Tubbo & TommyInnit,Minecraft (Video Game),Gen,14609
2023,Armitage Hux/Ben Solo | Kylo Ren,Star Wars Sequel Trilogy,M/M,14292
2023,Bellamy Blake/Clarke Griffin,The 100 (TV),F/M,14079
2023,Kim Taehyung | V/Park Jimin,Bangtan Boys,M/M,13885
2023,"James ""Bucky"" Barnes/Reader",Marvel Cinematic Universe,Other,13815
2023,Dean Winchester & Sam Winchester,Supernatural (TV 2005),Gen,13771
2023,Blackbeard | Edward Teach/Stede Bonnet,Our Flag Means Death (TV),M/M,13595
2023,Jensen Ackles/Jared Padalecki,Supernatural (TV 2005) RPF,M/M,13570
2023,Loki/Thor (Marvel),Thor (Movies),M/M,13563
2023,Gabriel/Sam Winchester,Supernatural (TV 2005),M/M,13412
2023,Jeon Jungkook/Min Yoongi | Suga,Bangtan Boys,M/M,13388
2023,Fox Mulder/Dana Scully,The X-Files,F/M,13204
2023,Uchiha Sasuke/Uzumaki Naruto,Naruto,M/M,13062
2023,Rodney McKay/John Sheppard,Stargate Atlantis,M/M,13004
2023,Aziraphale & Crowley (Good Omens),Good Omens,Gen,12790
2023,Tartaglia | Childe/Zhongli (Genshin Impact),Genshin Impact (Video Game),M/M,12678
2023,Clarke Griffin/Lexa,The 100 (TV),F/F,12568
2023,Technoblade & TommyInnit (Video Blogging RPF),Minecraft (Video Game),Gen,12452
2023,Levi Ackerman/Erwin Smith,Shingeki no Kyojin | Attack on Titan,M/M,11980
2023,Mycroft Holmes/Greg Lestrade,Sherlock (TV),M/M,11919
2023,Jack Harkness/Ianto Jones,Torchwood,M/M,11916
2023,Frank Iero/Gerard Way,My Chemical Romance,M/M,11872
2023,Han Jisung | Han/Lee Minho | Lee Know,Stray Kids (Band),M/M,11772
2023,Loki/Tony Stark,The Avengers (Marvel Movies),M/M,11642
2023,Enjolras/Grantaire (Les Miserables),Les Misérables,M/M,11462
2023,"James ""Bucky"" Barnes & Steve Rogers",Marvel Cinematic Universe,Gen,11294
2023,Castiel & Dean Winchester,Supernatural (TV 2005),Gen,11278
2023,Miya Atsumu/Sakusa Kiyoomi,Haikyuu!!,M/M,11253
2023,"Steve McGarrett/Danny ""Danno"" Williams",Hawaii Five-0 (2010),M/M,11249
2023,Aizawa Shouta | Eraserhead & Midoriya Izuku,Boku no Hero Academia,Gen,11220
2023,Clint Barton/Natasha Romanov,The Avengers (Marvel Movies),F/M,11165
2023,Annabeth Chase/Percy Jackson,Percy Jackson and the Olympians - Rick Riordan,F/M,11151
2023,Oliver Queen/Felicity Smoak,Arrow (TV 2012),F/M,11055
2023,Bilbo Baggins/Thorin Oakenshield,The Hobbit,M/M,10997
2023,Clint Barton/Phil Coulson,The Avengers (Marvel Movies),M/M,10899
2023,Harry Potter/Tom Riddle | Voldemort,Harry Potter,M/M,10889
2023,Captain Hook | Killian Jones/Emma Swan,Once Upon a Time (TV),F/M,10883
2023,Bakugou Katsuki/Todoroki Shouto,Boku no Hero Academia,M/M,10774
2023,Amity Blight/Luz Noceda,The Owl House (Cartoon),F/F,10722
2023,Adora/Catra (She-Ra),She-Ra and the Princesses of Power (2018),F/F,10525
2023,Tenth Doctor/Rose Tyler,Doctor Who (2005),F/M,10493
2023,Dabi | Todoroki Touya/Takami Keigo | Hawks,Boku no Hero Academia,M/M,10449
2023,Kozume Kenma/Kuroo Tetsurou,Haikyuu!!,M/M,10405
2023,Ranboo & Toby Smith | Tubbo,Minecraft (Video Game),Gen,10303
2024,Castiel/Dean Winchester,Supernatural (TV 2005),M/M,105322
2024,Draco Malfoy/Harry Potter,Harry Potter,M/M,64693
2024,Sherlock Holmes/John Watson,Sherlock (TV),M/M,63810
2024,Derek Hale/Stiles Stilinski,Teen Wolf (TV),M/M,63483
2024,Aziraphale/Crowley (Good Omens),Good Omens,Other,59647
2024,"James ""Bucky"" Barnes/Steve Rogers",Captain America (Movies),M/M,58522
2024,Sirius Black/Remus Lupin,Harry Potter,M/M,50356
2024,Bakugou Katsuki/Midoriya Izuku,Boku no Hero Academia,M/M,43102
2024,Steve Rogers/Tony Stark,The Avengers (Marvel Movies),M/M,42116
2024,Harry Styles/Louis Tomlinson,One Direction (Band),M/M,40111
2024,Lan Wangji/Wei Ying,Mo Dao Zu Shi,M/M,37658
2024,Jeon Jungkook/Kim Taehyung | V,Bangtan Boys,M/M,37354
2024,Adrien Agreste | Chat Noir/Marinette Dupain-Cheng | Ladybug,Miraculous Ladybug,F/M,35111
2024,Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs),Bungou Stray Dogs,M/M,32770
2024,Keith/Lance (Voltron),Voltron: Legendary Defender,M/M,32765
2024,Dean Winchester/Sam Winchester,Supernatural (TV 2005),M/M,31022
2024,Bakugou Katsuki/Kirishima Eijirou,Boku no Hero Academia,M/M,30272
2024,Magnus Bane/Alec Lightwood,Shadowhunters (TV),M/M,29458
2024,Hermione Granger/Draco Malfoy,Harry Potter,F/M,29031
2024,Peter Parker & Tony Stark,Marvel Cinematic Universe,Gen,28996
2024,Merlin/Arthur Pendragon (Merlin),Merlin (TV),M/M,28772
2024,Will Graham/Hannibal Lecter,Hannibal (TV),M/M,28318
2024,Jeon Jungkook/Park Jimin,Bangtan Boys,M/M,28185
2024,Min Yoongi | Suga/Park Jimin,Bangtan Boys,M/M,27462
2024,Rey/Ben Solo | Kylo Ren,Star Wars Sequel Trilogy,F/M,26940
2024,James Potter/Lily Evans Potter,Harry Potter,F/M,26767
2024,Steve Harrington/Eddie Munson,Stranger Things (TV 2016),M/M,25409
2024,Katsuki Yuuri/Victor Nikiforov,Yuri!!! on Ice (Anime),M/M,24741
2024,"Evan ""Buck"" Buckley/Eddie Diaz (9-1-1 TV)",9-1-1 (TV),M/M,24057
2024,Midoriya Izuku/Todoroki Shouto,Boku no Hero Academia,M/M,23150
2024,Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,Boku no Hero Academia,M/M,22622
2024,Kim Namjoon | RM/Kim Seokjin | Jin,Bangtan Boys,M/M,22484
2024,Clay | Dream/GeorgeNotFound (Video Blogging RPF),Video Blogging RPF,M/M,21836
2024,Pepper Potts/Tony Stark,Marvel Cinematic Universe,F/M,21526
2024,Hermione Granger/Ron Weasley,Harry Potter,F/M,20899
2024,Wilbur Soot & TommyInnit,Minecraft (Video Game),Gen,20717
2024,Kara Danvers/Lena Luthor,Supergirl (TV 2015),F/F,20322
2024,Wilbur Soot & Technoblade & TommyInnit & Phil Watson | Philza,Minecraft (Video Game),Gen,19940
2024,Iwaizumi Hajime/Oikawa Tooru,Haikyuu!!,M/M,19843
2024,Geralt z Rivii | Geralt of Rivia/Jaskier | Dandelion,The Witcher (TV),M/M,19107
2024,Hinata Shouyou/Kageyama Tobio,Haikyuu!!,M/M,18833
2024,Sherlock Holmes & John Watson,Sherlock (TV),Gen,18833
2024,Blackbeard | Edward Teach/Stede Bonnet,Our Flag Means Death (TV),M/M,18083
2024,James T. Kirk/Spock,Star Trek: Alternate Original Series (Movies),M/M,18008
2024,Bakugou Katsuki & Midoriya Izuku,Boku no Hero Academia,Gen,17971
2024,Harry Potter/Ginny Weasley,Harry Potter,F/M,17444
2024,Levi Ackerman/Eren Yeager,Shingeki no Kyojin | Attack on Titan,M/M,17420
2024,Aziraphale & Crowley (Good Omens),Good Omens,Gen,17386
2024,J-Hope/Min Yoongi,Bangtan Boys,M/M,17026
2024,Akaashi Keiji/Bokuto Koutarou,Haikyuu!!,M/M,16942
2024,Blaine Anderson/Kurt Hummel,Glee,M/M,16909
2024,Dan Howell/Phil Lester,Phandom/The Fantastic Foursome (YouTube RPF),M/M,16746
2024,Erik Lehnsherr/Charles Xavier,X-Men (Alternate Timeline Movies),M/M,16595
2024,Harry Potter/Severus Snape,Harry Potter,M/M,16426
2024,Han/Lee Minho,Stray Kids (Band),M/M,16402
2024,Ian Gallagher/Mickey Milkovich,Shameless (US),M/M,16004
2024,Regulus Black/James Potter,Harry Potter,M/M,15556
2024,Getou Suguru/Gojo Satoru,Jujutsu Kaisen (Manga),M/M,15322
2024,Dean Winchester & Sam Winchester,Supernatural (TV 2005),Gen,15046
2024,Eddie Kaspbrak/Richie Tozier,IT,M/M,14996
2024,Uchiha Sasuke/Uzumaki Naruto,Naruto (Anime & Manga),M/M,14840
2024,Evil Queen | Regina Mills/Emma Swan,Once Upon a Time (TV),F/F,14808
2024,Toby Smith | Tubbo & TommyInnit,Minecraft (Video Game),Gen,14752
2024,Tartaglia | Childe/Zhongli (Genshin Impact),Genshin Impact (Video Game),M/M,14702
2024,Armitage Hux/Ben Solo | Kylo Ren,Star Wars Sequel Trilogy,M/M,14559
2024,Keith/Shiro (Voltron),Voltron: Legendary Defender,M/M,14535
2024,Kim Taehyung | V/Park Jimin,Bangtan Boys,M/M,14493
2024,"James ""Bucky"" Barnes/Reader",Marvel Cinematic Universe,Other,14406
2024,Fox Mulder/Dana Scully,The X-Files,F/M,14215
2024,Annabeth Chase/Percy Jackson,Percy Jackson and the Olympians - Rick Riordan,F/M,14210
2024,Jeon Jungkook/Min Yoongi | Suga,Bangtan Boys,M/M,14055
2024,Bellamy Blake/Clarke Griffin,The 100 (TV),F/M,13863
2024,Loki/Thor (Marvel),Thor (Movies),M/M,13469
2024,Jensen Ackles/Jared Padalecki,Supernatural (TV 2005) RPF,M/M,13453
2024,Gabriel/Sam Winchester,Supernatural (TV 2005),M/M,13406
2024,Rodney McKay/John Sheppard,Stargate Atlantis,M/M,13254
2024,Technoblade & TommyInnit (Video Blogging RPF),Minecraft (Video Game),Gen,13056
2024,Aizawa Shouta | Eraserhead & Midoriya Izuku,Boku no Hero Academia,Gen,12989
2024,Levi Ackerman/Erwin Smith,Shingeki no Kyojin | Attack on Titan,M/M,12968
2024,Harry Potter/Tom Riddle | Voldemort,Harry Potter,M/M,12783
2024,Amity Blight/Luz Noceda,The Owl House (Cartoon),F/F,12404
2024,Nico di Angelo/Will Solace,Percy Jackson and the Olympians - Rick Riordan,M/M,12388
2024,Miya Atsumu/Sakusa Kiyoomi,Haikyuu!!,M/M,12358
2024,Jack Harkness/Ianto Jones,Torchwood,M/M,12280
2024,Frank Iero/Gerard Way,My Chemical Romance,M/M,12257
2024,Mycroft Holmes/Greg Lestrade,Sherlock (TV),M/M,12253
2024,Clarke Griffin/Lexa,The 100 (TV),F/F,12179
2024,Alhaitham/Kaveh (Genshin Impact),Genshin Impact (Video Game),M/M,11947
2024,Loki/Tony Stark,The Avengers (Marvel Movies),M/M,11793
2024,Bakugou Katsuki/Todoroki Shouto,Boku no Hero Academia,M/M,11691
2024,Dabi | Todoroki Touya/Takami Keigo | Hawks,Boku no Hero Academia,M/M,11685
2024,Enjolras/Grantaire (Les Miserables),Les Misérables,M/M,11611
2024,Roronoa Zoro/Sanji,One Piece (Anime & Manga),M/M,11572
2024,"James ""Bucky"" Barnes & Steve Rogers",Marvel Cinematic Universe,Gen,11540
2024,Castiel & Dean Winchester,Supernatural (TV 2005),Gen,11487
2024,Bilbo Baggins/Thorin Oakenshield,The Hobbit,M/M,11479
2024,"Steve McGarrett/Danny ""Danno"" Williams",Hawaii Five-0 (2010),M/M,11462
2024,Adora/Catra (She-Ra),She-Ra and the Princesses of Power (2018),F/F,11366
2024,Clint Barton/Natasha Romanov,The Avengers (Marvel Movies),F/M,11260
2024,Neil Josten/Andrew Minyard,All For The Game - Nora Sakavic,M/M,11221
